seed,size,task,model,digits,bb_spec,operation,batch_size,_step,_runtime,accuracy,_timestamp
1,8192,blackboard-2d,EOgar-2d,13,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,66.383498888,0.78369140625,1768012309.2684696
2,8192,blackboard-2d,EOgar-2d,13,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,112.025463161,0.5697021484375,1768012429.5995684
3,8192,blackboard-2d,EOgar-2d,13,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,98.89329827,0.129150390625,1768012537.0723433
4,8192,blackboard-2d,EOgar-2d,13,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,117.502848578,0.1243896484375,1768012663.1928852
0,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,127.872781896,0.18695068359375,1768036165.3766685
1,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,139.734909059,0.69049072265625,1768036313.6058745
2,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,127.787194952,1.0,1768036449.8344038
3,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,108.14654301,0.59088134765625,1768036566.6438448
4,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,103.040824637,0.16912841796875,1768036678.018959
0,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,188.413447539,0.0596923828125,1768036874.9586053
1,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,167.68666532,0.175048828125,1768037050.7788427
2,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,105.604009073,0.99908447265625,1768037164.8368235
3,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,108.800630034,0.3671875,1768037282.754423
4,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,105.796744258,0.13818359375,1768037397.3520505
0,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,168.578185203,0.0,1768037575.0683212
1,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,204.425694351,0.001220703125,1768037789.00187
2,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,111.992178503,0.97772216796875,1768037910.5634723
3,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,139.028711567,0.20001220703125,1768038058.6194243
4,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,134.137155821,0.0838623046875,1768038201.6973808
0,8192,blackboard-1d,EOgar-1d,13,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,216.759018889,0.0,1768038426.8173423
1,8192,blackboard-1d,EOgar-1d,13,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,244.363088295,0.0,1768038679.935008
2,8192,blackboard-1d,EOgar-1d,13,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,227.909426609,0.2413330078125,1768038917.1835732
3,8192,blackboard-1d,EOgar-1d,13,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,225.366768984,0.23333740234375,1768039151.9738486
4,8192,blackboard-1d,EOgar-1d,13,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,138.133077273,0.04376220703125,1768039299.2107382
0,8192,blackboard-2d,EOgar-2d,10,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,141.890005376,0.9710693359375,1768039450.3387623
1,8192,blackboard-2d,EOgar-2d,10,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,124.917088608,0.07110595703125,1768039584.5517242
2,8192,blackboard-2d,EOgar-2d,10,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,142.795278443,0.98480224609375,1768039736.463275
3,8192,blackboard-2d,EOgar-2d,10,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,140.238607475,0.04010009765625,1768039886.2346764
4,8192,blackboard-2d,EOgar-2d,10,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,101.499981652,0.95855712890625,1768039997.0349822
0,8192,blackboard-2d,EOgar-2d,11,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,113.675561306,0.9498291015625,1768040119.5242083
1,8192,blackboard-2d,EOgar-2d,11,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,169.264058008,0.0426025390625,1768040297.8057835
2,8192,blackboard-2d,EOgar-2d,11,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,128.064116283,0.9879150390625,1768040434.7140734
3,8192,blackboard-2d,EOgar-2d,11,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,117.651877,0.02545166015625,1768040561.5585985
4,8192,blackboard-2d,EOgar-2d,11,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,166.507774927,0.7431640625,1768040737.1116126
0,8192,blackboard-2d,EOgar-2d,12,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,209.820576761,0.2890625,1768040956.3728998
1,8192,blackboard-2d,EOgar-2d,12,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,206.372780546,0.0047607421875,1768041171.1394
2,8192,blackboard-2d,EOgar-2d,12,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,115.737310626,0.56072998046875,1768041296.4403205
3,8192,blackboard-2d,EOgar-2d,12,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,158.220346671,0.0135498046875,1768041463.6575363
4,8192,blackboard-2d,EOgar-2d,12,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,194.761707174,0.2281494140625,1768041667.9040732
0,8192,blackboard-2d,EOgar-2d,13,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,237.187495202,0.0177001953125,1768041914.4419792
1,8192,blackboard-2d,EOgar-2d,13,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,180.564024604,0.0001220703125,1768042104.5853124
2,8192,blackboard-2d,EOgar-2d,13,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,152.329965955,0.1136474609375,1768042265.8989456
3,8192,blackboard-2d,EOgar-2d,13,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,244.026086798,0.02740478515625,1768042518.6767259
4,8192,blackboard-2d,EOgar-2d,13,"{'width': 20, 'height': 6, 'operation': 'mixed', 'randomize_position': False}",mixed,64,0,195.343020934,0.02496337890625,1768042723.1889641
5,8192,cot,CoT,10,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': False}",add,64,0,559.482097064,0.7423095703125,1768138942.4606965
